species,version,M_method,GOA,BS,BC,WC,multi_region
longnose skate,2,jensen_k1,0.0552,NA,NA,NA,NA
longnose skate,1,jensen_k2,0.064,NA,NA,0.064,0.064
longnose skate,2,jensen_k2,0.05888,NA,NA,NA,NA
longnose skate,1,then,0.06330722650454053,NA,NA,0.06714493353766862,0.06602313849444441
longnose skate,2,then,0.06095484945413107,NA,NA,NA,NA
mud skate,1,amax,NA,0.38571428571428573,NA,NA,NA
mud skate,2,amax,NA,0.38571428571428573,NA,NA,NA
mud skate,1,fishlife,0.12505686594768517,0.12505686594768517,0.12505686594768517,0.12505686594768517,0.12505686594768517
mud skate,1,frisk_k,NA,0.1730586010248673,NA,NA,NA
mud skate,2,frisk_k,NA,0.18655940936940815,NA,NA,NA
mud skate,1,frisk_tmat,NA,0.17024174327545116,NA,NA,NA
mud skate,1,hamel_k,NA,0.19423239999999997,NA,NA,NA
mud skate,2,hamel_k,NA,0.2322725,NA,NA,NA
mud skate,1,jensen_k1,NA,0.1662,NA,NA,NA
mud skate,2,jensen_k1,NA,0.19875,NA,NA,NA
mud skate,1,jensen_k2,NA,0.17728,NA,NA,NA
mud skate,2,jensen_k2,NA,0.21200000000000002,NA,NA,NA
mud skate,1,then,NA,0.19009677523280444,NA,NA,NA
mud skate,2,then,NA,0.22309229532924246,NA,NA,NA
roughtail skate,1,amax,NA,0.18000000000000002,NA,0.31764705882352945,NA
roughtail skate,2,amax,NA,0.15000000000000002,NA,NA,NA
roughtail skate,3,amax,NA,0.15000000000000002,NA,NA,NA
roughtail skate,1,fishlife,0.21949099396933225,0.21949099396933225,0.21949099396933225,0.21949099396933225,0.21949099396933225
roughtail skate,1,frisk_k,NA,0.1374301682997449,NA,0.13375499652970874,NA
roughtail skate,2,frisk_k,NA,0.1013580859406385,NA,NA,NA
roughtail skate,3,frisk_k,NA,0.11040674337375465,NA,NA,NA
roughtail skate,1,frisk_tmat,NA,0.07850525985241011,NA,0.12453300124533,NA
roughtail skate,1,hamel_k,NA,0.112192,NA,0.10518,NA
roughtail skate,2,hamel_k,NA,0.054342999999999995,NA,NA,NA
roughtail skate,3,hamel_k,NA,0.06661399999999999,NA,NA,NA
roughtail skate,1,jensen_k1,NA,0.096,NA,0.09,NA
roughtail skate,2,jensen_k1,NA,0.0465,NA,NA,NA
roughtail skate,3,jensen_k1,NA,0.056999999999999995,NA,NA,NA
roughtail skate,1,jensen_k2,NA,0.1024,NA,0.096,NA
roughtail skate,2,jensen_k2,NA,0.049600000000000005,NA,NA,NA
roughtail skate,3,jensen_k2,NA,0.0608,NA,NA,NA
roughtail skate,1,then,NA,0.055626132001846476,NA,0.11104770776291752,NA
roughtail skate,2,then,NA,0.03036304342140112,NA,NA,NA
roughtail skate,3,then,NA,0.03646806188605079,NA,NA,NA
sandpaper skate,1,amax,NA,NA,NA,0.31764705882352945,NA
sandpaper skate,1,fishlife,0.13551546074338366,0.13551546074338366,0.13551546074338366,0.13551546074338366,0.13551546074338366
sandpaper skate,1,frisk_k,NA,NA,NA,0.2263698552053822,NA
sandpaper skate,1,hamel_k,NA,NA,NA,0.36812999999999996,NA
sandpaper skate,1,jensen_k1,NA,NA,NA,0.315,NA
sandpaper skate,1,jensen_k2,NA,NA,NA,0.336,NA
sandpaper skate,1,then,NA,NA,NA,0.34891850158940085,NA
whiteblotched skate,1,amax,NA,0.15000000000000002,NA,NA,NA
whiteblotched skate,2,amax,NA,0.16875,NA,NA,NA
whiteblotched skate,3,amax,NA,0.16363636363636364,NA,NA,NA
whiteblotched skate,1,fishlife,0.12505686594768517,0.12505686594768517,0.12505686594768517,0.12505686594768517,0.12505686594768517
whiteblotched skate,1,frisk_k,NA,0.0843177652356208,NA,NA,NA
whiteblotched skate,2,frisk_k,NA,0.09474583739022593,NA,NA,NA
whiteblotched skate,3,frisk_k,NA,0.10817928056672661,NA,NA,NA
whiteblotched skate,1,frisk_tmat,NA,0.07513148009015778,NA,NA,NA
whiteblotched skate,2,frisk_tmat,NA,0.08658008658008658,NA,NA,NA
whiteblotched skate,3,frisk_tmat,NA,0.07513148009015778,NA,NA,NA
whiteblotched skate,4,frisk_tmat,NA,0.08658008658008658,NA,NA,NA
whiteblotched skate,1,hamel_k,NA,0.03506,NA,NA,NA
whiteblotched skate,2,hamel_k,NA,0.0462792,NA,NA,NA
whiteblotched skate,3,hamel_k,NA,0.0634586,NA,NA,NA
whiteblotched skate,1,jensen_k1,NA,0.03,NA,NA,NA
whiteblotched skate,2,jensen_k1,NA,0.039599999999999996,NA,NA,NA
whiteblotched skate,3,jensen_k1,NA,0.0543,NA,NA,NA
whiteblotched skate,1,jensen_k2,NA,0.032,NA,NA,NA
whiteblotched skate,2,jensen_k2,NA,0.04224,NA,NA,NA
whiteblotched skate,3,jensen_k2,NA,0.057920000000000006,NA,NA,NA
whiteblotched skate,1,then,NA,0.04343933707564484,NA,NA,NA
whiteblotched skate,2,then,NA,0.05320298064312852,NA,NA,NA
whiteblotched skate,3,then,NA,0.06891851527554343,NA,NA,NA
whitebrow skate,1,amax,NA,0.14594594594594595,NA,NA,NA
whitebrow skate,1,fishlife,0.21949099396933225,0.21949099396933225,0.21949099396933225,0.21949099396933225,0.21949099396933225
whitebrow skate,1,frisk_k,NA,0.07717609415851172,NA,NA,NA
whitebrow skate,1,frisk_tmat,NA,0.08045052292839903,NA,NA,NA
whitebrow skate,1,hamel_k,NA,0.028398599999999996,NA,NA,NA
whitebrow skate,1,jensen_k1,NA,0.0243,NA,NA,NA
whitebrow skate,1,jensen_k2,NA,0.02592,NA,NA,NA
whitebrow skate,1,then,NA,0.03708059917616137,NA,NA,NA
